Date : 2022-11-07 11:47:34
Directory : c:\Users\colli\Documents\GitHub\SmartSchedulerVer2
Total : 100 files,  5760 codes, 1227 comments, 915 blanks, all 7902 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |         55 |      2,565 |        817 |        551 |      3,933 |
| CSS              |          3 |      1,588 |          4 |        232 |      1,824 |
| HTML             |         28 |      1,226 |         65 |         41 |      1,332 |
| PowerShell       |          1 |        108 |        277 |         35 |        420 |
| pip requirements |          1 |         90 |          0 |          1 |         91 |
| Markdown         |          2 |         67 |          0 |         26 |         93 |
| Batch            |          2 |         41 |          0 |         17 |         58 |
| YAML             |          1 |         31 |          0 |          1 |         32 |
| JavaScript       |          1 |         31 |         64 |         10 |        105 |
| Properties       |          2 |          9 |          0 |          1 |         10 |
| JSON             |          3 |          3 |          0 |          0 |          3 |
| XML              |          1 |          1 |          0 |          0 |          1 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                             | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                |        100 |      5,760 |      1,227 |        915 |      7,902 |
| .elasticbeanstalk                                                                                                                |          1 |         31 |          0 |          1 |         32 |
| django_project                                                                                                                   |          5 |        111 |         50 |         49 |        210 |
| eb-virt                                                                                                                          |         11 |        940 |        420 |        208 |      1,568 |
| eb-virt\Scripts                                                                                                                  |          9 |        899 |        420 |        196 |      1,515 |
| eb-virt\share                                                                                                                    |          1 |         38 |          0 |         11 |         49 |
| eb-virt\share\doc                                                                                                                |          1 |         38 |          0 |         11 |         49 |
| eb-virt\share\doc\jwcrypto                                                                                                       |          1 |         38 |          0 |         11 |         49 |
| smart_scheduler                                                                                                                  |         52 |      4,064 |        739 |        552 |      5,355 |
| smart_scheduler\migrations                                                                                                       |          9 |        194 |          8 |         50 |        252 |
| smart_scheduler\static                                                                                                           |          5 |      1,620 |         68 |        242 |      1,930 |
| smart_scheduler\static\smart_scheduler                                                                                           |          5 |      1,620 |         68 |        242 |      1,930 |
| smart_scheduler\static\smart_scheduler\media                                                                                     |          1 |          1 |          0 |          0 |          1 |
| smart_scheduler\templates                                                                                                        |         20 |      1,007 |         59 |         36 |      1,102 |
| smart_scheduler\templates\smart_scheduler                                                                                        |         20 |      1,007 |         59 |         36 |      1,102 |
| users                                                                                                                            |         25 |        477 |         15 |         84 |        576 |
| users\migrations                                                                                                                 |          9 |        161 |          8 |         50 |        219 |
| users\templates                                                                                                                  |          8 |        219 |          6 |          5 |        230 |
| users\templates\users                                                                                                            |          8 |        219 |          6 |          5 |        230 |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                         | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\.elasticbeanstalk\config.yml                                                  | YAML             |         31 |          0 |          1 |         32 |
| c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\README.md                                                                     | Markdown         |         29 |          0 |         15 |         44 |
| c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\credentials.json                                                              | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\credentials_original.json                                                     | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\data.json                                                                     | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\colli\Documents\GitHub\SmartSchedulerVer2\django_project\__init__.py                                                    | Python           |          0 |          0 |          1 |          1 |
